state,n_plants,n_units,unit_months,gen_total_MWh,co2_total_short_tons,grossload_MWh,coherence,unit_rate_min,unit_rate_max,ef_kg_co2_per_kwh
AZ,25,86,949,1522879.415921,717303.605698,62228094,0.464903,0.36314,1.083589,0.4273
CA,101,227,2461,13177407.005556,5898459.505155,75150322,0.998272,0.326892,1.343463,0.406073
CO,22,66,734,1171288.07912,507239.044296,40242211,0.755531,0.3877,1.02154,0.392866
ID,5,8,89,599811.564076,270955.119498,4788488,1.0,0.36489,0.648405,0.409806
MT,2,3,35,177833.436262,179775.098457,11372698,1.0,0.889131,1.202373,0.917089
NM,12,24,265,-208481.565813,-257466.457568,19074336,0.268725,0.365693,1.075652,
NV,12,35,390,937273.430545,624377.008721,26067800,1.0,0.357118,1.042264,0.604333
OR,7,14,163,3203466.541485,1359758.44589,19559641,1.0,0.365333,0.498831,0.385068
SD,1,1,12,8415.888155,4621.556127,48707,1.0,0.497533,0.497533,0.498177
TX,2,11,124,507541.511654,291375.540661,3808090,1.0,0.445835,0.647843,0.520807
UT,10,27,292,3992034.883709,2539628.426742,38353152,1.0,0.374208,0.989306,0.577127
WA,11,17,190,1885454.388006,910428.621244,17510740,1.0,0.364727,1.010746,0.438052
WY,10,21,243,857322.564482,841806.406976,22997713,0.861464,0.512372,1.118811,0.890765
